university,college_code,college_name,choice_code,course,intake,cap_seats,si_seats,ms_seats,all_india_seats,minority_seats,institute_seats,hu_open,hu_sc,hu_st,hu_vjdt,hu_ntb,hu_ntc,hu_ntd,hu_obc,hu_sebc,ohu_open,ohu_sc,ohu_st,ohu_vjdt,ohu_ntb,ohu_ntc,ohu_ntd,ohu_obc,ohu_sebc,pwd_total,ews_seats,tfws_choice_code,tfws_seats
Gondwana University,4153,"Sarvodaya Shikshan Mandal's Sardar Patel Mahavidayalaya, Dept. of Computer Studies & Research, Chandrapur",0415324110,Master in Computer Application,30,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,,0
Gondwana University,4188,"Krushi Jivan Vikas Pratishthan, Ballarpur Institute of Technology, Mouza Bamni",0418824110,Master in Computer Application,120,41,41,0,0,0,0,0,7,4,2,2,2,2,0,7,1,4,2,1,1,1,0,2,3,0,12,0418824111,6
"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",5002,"Department of Computer Science, North Maharashtra University, Jalgaon",0500224110,Master in Computer Application,60,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0500224111,0
"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",5101,"Khandesh College Education Society's Institute of Management & Research, Jalgaon",0510124110,Master in Computer Application,180,13,11,2,0,0,0,2,1,2,0,1,0,0,1,0,2,0,0,0,0,0,1,0,0,1,5,0510124111,0
"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",5102,"Godavari Institute of Management & Research, Jalgaon",0510224110,Master in Computer Application,120,8,7,1,0,0,0,0,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0,2,0,0,7,0510224111,0
"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",5104,"Shramsadhana Bombay Trust, College of Engineering & Technology, Jalgaon",0510424110,Master in Computer Application,60,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0510424111,0
"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",5150,"R.C. Patel Educational Trust, Institute of Management Reasearch & Development, Shirpur",0515024110,Master in Computer Application,180,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0515024111,0
"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",5152,"G H Raisoni College of Engineering and Management, Jalgaon",0515224110,Master in Computer Application,180,7,4,0,3,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0515224111,0
"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",5381,"Shri. Jaykumar Rawal Institute of Technology, Dondaicha.",0538124110,Master in Computer Application,60,5,5,0,0,6,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0538124111,0
"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",5550,BHUSAWAL ARTS SCIENCE AND P O NAHATA COMMERCE COLLEGE BHUSAWAL,0555024170U,Master in Computer Application,60,13,13,0,0,12,0,1,0,1,0,0,0,0,2,2,3,1,1,1,0,0,0,0,1,0,3,0555024171,1
"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",5556,DADASAHEB DR.SURESH G.PATIL COLLEGE CHOPDA,0555624170U,Master in Computer Application,60,2,2,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0555624171,0
"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",5569,SHRI SHIVAJI VIDYA PRASARAK SANSTHA L.K.DR.P.R.GHOGREY SCIENCE COLLEGE DHULE,0556924170U,Master in Computer Application,60,7,7,0,0,12,0,3,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,3,0556924171,0
Mumbai University,3012,"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",0301224110,Master in Computer Application,60,3,3,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0301224111,0
Mumbai University,3109,"S.I.E.S. College of Management Studies, Mumbai",0310924110,Master in Computer Application,120,17,4,3,10,24,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0310924111,1
Mumbai University,3117,"Gurunanak Institute of Management Studies, Mumbai",0311724110,Master in Computer Application,60,14,6,3,5,12,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0311724111,0
Mumbai University,3127,"NCRD's Sterling Institute of Management Studies, Navi Mumbai",0312724110,Master in Computer Application,120,19,14,5,0,24,0,5,1,0,0,0,1,1,0,0,2,1,1,0,1,0,1,0,0,0,9,0312724111,2
Mumbai University,3129,"Mumbai Institute of Management & Research, Mumbai",0312924210,Master of Computer Applications,120,72,58,14,0,24,0,15,3,2,2,1,1,1,9,5,6,3,1,1,1,1,0,2,2,2,12,0312924211,2
Mumbai University,3133,"Swayamsiddhi Mitra Sangh's College of Management & Research, Thane",0313324110,Master in Computer Application,60,12,11,1,0,0,0,6,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,4,0313324111,0
Mumbai University,3162,"Bharti Vidyapeeth's Institute of Management & Information Technology, Navi Mumbai",0316224110,Master in Computer Application,120,8,5,3,0,24,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0316224111,0
