university,college_code,college_name,choice_code,course,intake,cap_seats,si_seats,ms_seats,all_india_seats,minority_seats,institute_seats,hu_open,hu_sc,hu_st,hu_vjdt,hu_ntb,hu_ntc,hu_ntd,hu_obc,hu_sebc,ohu_open,ohu_sc,ohu_st,ohu_vjdt,ohu_ntb,ohu_ntc,ohu_ntd,ohu_obc,ohu_sebc,pwd_total,ews_seats,tfws_choice_code,tfws_seats
"Shivaji University(WCE, Sangli)",06007,"Walchand College of Engineering, Sangli",0600761070,0600761070U Thermal Engineering,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
"Shivaji University(WCE, Sangli)",06007,"Walchand College of Engineering, Sangli",0600794070,0600794070U Data Sciences,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
"Shivaji University(WCE, Sangli)",06007,"Walchand College of Engineering, Sangli",0600721170,0600721170U Civil - Structural Engineering,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
"Shivaji University(WCE, Sangli)",06007,"Walchand College of Engineering, Sangli",0600724270,0600724270U Computer Science and Engineering,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
"Shivaji University(WCE, Sangli)",06007,"Walchand College of Engineering, Sangli",0600729870,0600729870U Electrical - Power System Engineering,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
"Shivaji University(WCE, Sangli)",06007,"Walchand College of Engineering, Sangli",0600757770,0600757770U Civil Environmental Engineering,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
"Shivaji University(WCE, Sangli)",06007,"Walchand College of Engineering, Sangli",0600760170,0600760170U Design Engineering,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Savitribai Phule Pune University,06175,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",0617596110,Seat Reserved Construction Management 0617521010 0 0 0 1 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 3 0 0617521010S 3 1 0 7 Computer Engineering 0617524510 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0617524510S 1 1 0 3 VLSI and Embeded Systems 0617534110 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0617534110S 3 1 0 4 Mechanical Engineering Design 0617590410 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 3 0 0617590410S 0 1 0 2 Artificial Intelligence and Data Science 0617594310 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 3 0 0617594310S 1 1 0 4 Computational Mechanics (Mechanical Engineering) Savitribai Phule Pune University,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Shivaji University,06223,"Pradnya Niketan Education Society's Nagesh Karajagi Orchid College of Engineering & Technology, Solapur",0622393810,"Seat Reserved Thermal Engineering 0622361010 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0622361010S 1 0 0 4 Computer Aided Structural Analysis and Design Electric Vehicle Technology 0622396410 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0622396410S 0 0 0 2 IL - Institute Level Seats, MI - Minority Seats 65 of 84 Note :- Vacancy position may vary. Candidates are advised to fill all eligible Choice Code of their choice irrespective of vacancy position.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Shivaji University,06267,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",0626708110,Seat Reserved Bio Chemical Engineering and Bio Technology Environmental Engineering 0626720110 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0626720110S 0 0 0 1 Electronics and Telecommunication Engg 0626737210 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0626737210S 0 0 0 2 Mechanical Engineering Design 0626790410 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0626790410S 1 0 0 4 Computer Science and Engineering (Data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Shivaji University,06267,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",0626794710,"Science) Civil and Structural Engineering 0626794810 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0626794810S 0 0 0 0 Warana University, Warananagar, Kolhapur",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Savitribai Phule Pune University,06271,Pune Institute of Computer Technology,0627194110,Seat Reserved Electronics and Communication (Wireless Communication Technology) Computer Engineering 0627124510 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0627124510S 0 1 0 1 Data Sciences 0627194010 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0627194010S 0 1 0 1 Savitribai Phule Pune University,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Savitribai Phule Pune University,06276,"MKSSS's Cummins College of Engineering for Women, Karvenagar,Pune",0627639750,Seat Reserved Electronics and Telecommunication 0627639750F Engineering with specialization in Artificial,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Savitribai Phule Pune University,06276,"MKSSS's Cummins College of Engineering for Women, Karvenagar,Pune",0627690450,0627690450F Mechanical Engineering Design,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Savitribai Phule Pune University,06276,"MKSSS's Cummins College of Engineering for Women, Karvenagar,Pune",0627634150,0627634150F VLSI and Embeded Systems,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Savitribai Phule Pune University,06276,"MKSSS's Cummins College of Engineering for Women, Karvenagar,Pune",0627624550,0627624550F Computer Engineering,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Savitribai Phule Pune University,06283,"Annasaheb Dange College of Engineering and Technology, Ashta, Sangli",0628395110,Seat Reserved Computer Science and Engineering 0628324210 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0628324210S 0 1 0 1 Electrical Power System 0628329210 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0628329210S 0 1 0 0 Mechanical Engineering Design 0628390410 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0628390410S 0 1 0 0 Civil Engineering (Computer Aided Structural Engineering) Savitribai Phule Pune University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Savitribai Phule Pune University,06285,"Bharati Vidyapeeth's College of Engineering for Women, Katraj, Dhankawadi, Pune",0628524550,Seat Reserved 0628524550F Computer Engineering,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Savitribai Phule Pune University,06285,"Bharati Vidyapeeth's College of Engineering for Women, Katraj, Dhankawadi, Pune",0628534150,0628534150F VLSI and Embeded Systems,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Savitribai Phule Pune University,06322,"Shree Gajanan Maharaj Shikshan Prasarak Manda'l Sharadchandra Pawar College of Engineering, Dumbarwadi",0632293010,"Seat Reserved Computer Engineering 0632224510 0 2 1 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0632224510S 1 0 0 7 Electronics and Telecommunication (VLSI & Embedded Systems) IL - Institute Level Seats, MI - Minority Seats 76 of 84 Note :- Vacancy position may vary. Candidates are advised to fill all eligible Choice Code of their choice irrespective of vacancy position.",2,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Savitribai Phule Pune University,06794,"Anantrao Pawar College of Engineering & Research, Pune",0679496810,"Seat Reserved Civil Environmental Engineering 0679457710 4 2 0 1 1 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0679457710S 0 1 0 12 Computer Engineering 0679424510 3 2 1 0 0 1 1 3 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0679424510S 1 1 0 14 Electronics and Communication (VLSI Design) Mechanical Engineering Design 0679490410 5 2 1 1 1 1 0 3 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0679490410S 5 0 0 22 IL - Institute Level Seats, MI - Minority Seats 84 of 84 Note :- Vacancy position may vary. Candidates are advised to fill all eligible Choice Code of their choice irrespective of vacancy position.",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
