GOVERNMENT OF MAHARASHTRA,,,,,,,,,,,,,
"State Common Entrance Test Cell, Mumbai.",,,,,,,,,,,,,
,Cut Off List for All India Seats of CAP Round-II for Admission to the First Year Post Graduate Technical Course in Master of Computer Applications (MCA) 2025-26.,,,,,,,,,,,,
,Sr.No., ,Merit (Score), ,Choice Code, ,Institute Name, ,Course Name, ,Type, ,Seat Type
,1, ,32 (99.8943436), ,0321524110, ,"Bhartiya Vidya Bhavan's Sardar Patel Institute of Technology , Andheri, Mumbai", ,Master in Computer Application, ,AI-AI, ,AI
2, ,105 (99.6830308), ,0603324110, ,"Department of Computer Science, Savitribai Phule Pune University, Pune", ,Master in Computer Application, ,AI-AI, ,AI,
3, ,148 (99.5434135), ,0617524110, ,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune", ,Master in Computer Application, ,AI-AI, ,AI,
4, ,226 (99.2830459), ,0318524210, ,"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai", ,Master of Computer Applications, ,AI-AI, ,AI,
5, ,282 (99.113241), ,0310924110, ,"S.I.E.S. College of Management Studies, Mumbai", ,Master in Computer Application, ,AI-AI, ,AI,
6, ,294 (99.113241), ,0614124110, ,"Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune", ,Master in Computer Application, ,AI-AI, ,AI,
7, ,382 (98.9283423), ,0316724110, ,"Mumbai Education Trust's Institute of Computer Science, Bandra (W), Mumbai", ,Master in Computer Application, ,AI-AI, ,AI,
8, ,406 (98.7632442), ,0317624210, ,"Thakur College of Engineering and Technology, Kandivali, Mumbai", ,Master of Computer Applications, ,AI-AI, ,AI,
9, ,611 (98.2089665), ,0617924110, ,"Indira College of Engineering & Management, Pune", ,Master in Computer Application, ,AI-AI, ,AI,
10, ,697 (98.0566771), ,0316824110, ,"Thakur Institute of Management Studies Career Development & Research, Kandivali (E), Mumbai", ,Master in Computer Application, ,AI-AI, ,AI,
11, ,859 (97.6265047), ,0622824110, ,"Dr. D. Y. Patil Pratishthan's D.Y.Patil Institute of Master of Computer Applications and Management, Akurdi, Pune", ,Master in Computer Application, ,AI-AI, ,AI,
12, ,958 (97.390747), ,0311724110, ,"Gurunanak Institute of Management Studies, Mumbai", ,Master in Computer Application, ,AI-AI, ,AI,
13, ,1140 (97.0718086), ,0613924110, ,"Progressive Education Society's Modern College of Engineering, Pune", ,Master in Computer Application, ,AI-AI, ,AI,
14, ,1239 (96.828928), ,0316224110, ,"Bharti Vidyapeeth's Institute of Management & Information Technology, Navi Mumbai", ,Master in Computer Application, ,AI-AI, ,AI,
15, ,1443 (96.1125146), ,0623224110, ,"Maharashtra Education Society's Institute of Management and Career Courses (IMCC), Pune", ,Master in Computer Application, ,AI-AI, ,AI,
16, ,1658 (95.5548847), ,0612924110, ,"Jayawant Shikshan Prasarak Mandal's Jayawant Institute of Management Studies, Tathawade Pune-411033", ,Master in Computer Application, ,AI-AI, ,AI,
17, ,1744 (95.2942951), ,0400324110, ,"Inter Institutional Computer Center and Dept. of Computer Science & Electronics, RTM Nagpur University", ,Master in Computer Application, ,AI-AI, ,AI,
18, ,1889 (94.6454851), ,0615424110, ,"Institute of Industrial & Computer Management & Research, Nigdi, Pune", ,Master in Computer Application, ,AI-AI, ,AI,
19, ,1982 (94.6454851), ,0365124110, ,KANDIVLI EDUCATION SOCIETY'S B K SHROFF COLLEGE OF ARTS AND M H SHROFF COLLEGE OF COMMERCE, ,Master in Computer Application, ,AI-AI, ,AI,
20, ,2137 (94.4270578), ,0681224110, ,"Progressive Education Society's Modern Institute of Business Studies, Nigdi, Pune", ,Master in Computer Application, ,AI-AI, ,AI,
21, ,2314 (93.5511867), ,0614524110, ,"JSPM'S Jaywantrao Sawant College of Engineering,Pune", ,Master in Computer Application, ,AI-AI, ,AI,
22, ,2906 (92.1797821), ,0675524110, ,"JSPM Narhe Technical Campus, Pune.", ,Master in Computer Application, ,AI-AI, ,AI,
23, ,3023 (92.1797821), ,0343824110, ,"Aditya Institute of Management Studies & Research, Borivali", ,Master in Computer Application, ,AI-AI, ,AI,
,Cut Off Indicates All India Merit No. ; Figures in bracket Indicates Merit Score,,,,,,,,,,,,
AI to AI-All India Seats Allotted to All India Candidature Candidates, ,,,,,,,,,,,,
Page 1/7,,,,,,,,,,,,,
GOVERNMENT OF MAHARASHTRA,,,,,,,,,,,,,
"State Common Entrance Test Cell, Mumbai.",,,,,,,,,,,,,
,Cut Off List for All India Seats of CAP Round-II for Admission to the First Year Post Graduate Technical Course in Master of Computer Applications (MCA) 2025-26.,,,,,,,,,,,,
,24, ,3090 (92.1797821), ,0317324110, ,"Deccan Education Society's Navinchandra Mehta Institute of Technology & Development, Dadar, Mumbai", ,Master in Computer Application, ,AI-AI, ,AI
25, ,3095 (92.1797821), ,0623124110, ,"Sinhgad Technical Education Society's Sinhgad Institute of Management ,Vadgaon(Budruk),Pune", ,Master in Computer Application, ,AI-AI, ,AI,
26, ,3871 (89.1966341), ,0620124110, ,"Dr. D. Y. Patil School Of MCA, Lohegaon,Pune", ,Master in Computer Application, ,AI-AI, ,AI,
