GOVERNMENT OF MAHARASHTRA,,,,,,,,,,,,,
"State Common Entrance Test Cell, Mumbai.",,,,,,,,,,,,,
29, ,5451 (85.3851665), ,0316924110, ,"Late Bhausaheb Hiray S. S. Trust's Institute of Computer Application, Bandra (E), Mumbai", ,Master in Computer Application, ,AI-AI, ,AI,
30, ,5547 (85.2118788), ,0512124110, ,"K. K. Wagh Institute of Engineering Education and Research, Nashik", ,Master in Computer Application, ,AI-AI, ,AI,
31, ,5717 (85.2118788), ,0110724110, ,"P. R. Pote Patil College of Engineering & Management, Amravati", ,Master in Computer Application, ,AI-AI, ,AI,
32, ,5793 (85.2118788), ,0515124110, ,"MET Bhujbal Knowledge City MET League's Engineering College, Adgaon, Nashik.", ,Master in Computer Application, ,AI-AI, ,AI,
33, ,5989 (82.9644433), ,0615524110, ,"G.H.Raisoni College of Engineering & Management, Wagholi, Pune", ,Master in Computer Application, ,AI-AI, ,AI,
34, ,6065 (82.9644433), ,0621224110, ,"KIT's Institute of Management Education & Research, Kolhapur", ,Master in Computer Application, ,AI-AI, ,AI,
35, ,6280 (82.9644433), ,0613724110, ,"Vidya Pratishthan Institute of Information Technology, Baramati, Pune", ,Master in Computer Application, ,AI-AI, ,AI,
36, ,6309 (82.8308366), ,0303224150F, ,"S.N.D.T Women's University P.G.D. of Computer Science, Mumbai", ,Master in Computer Application, ,AI-AI, ,AI,
37, ,6370 (82.8308366), ,0616724110, ,"Kamla Education Society's Pratibha Institute of Business Management, Chinchwad, Pune", ,Master in Computer Application, ,AI-AI, ,AI,
38, ,6657 (82.8308366), ,0679424110, ,"Anantrao Pawar College of Engineering & Research, Pune", ,Master in Computer Application, ,AI-AI, ,AI,
"Sinhgad Technical Education Society's , Sinhgad Institute of Business Administration & Research, Kondhawa-Saswad",Master in Computer Application,,,,,,,,,,,,
39, ,6858 (80.5399495), ,0623624110,AI-AI, ,AI,,,,,,
"Road, Pune",,,,,,,,,,,,,
40, ,6885 (80.5399495), ,0697324110, ,"ASMS Institute of Business Management and Research MCA, Pune", ,Master in Computer Application, ,AI-AI, ,AI,
