GOVERNMENT OF MAHARASHTRA,,,,,,,,,,,,,
"State Common Entrance Test Cell, Mumbai.",,,,,,,,,,,,,
,Cut Off List for All India Seats of CAP Round I for Admission to the First Year Post Graduate Technical Course in Master of Computer Applications (MCA) 2025-26,,,,,,,,,,,,
,Sr.No., ,Merit (Score), ,Choice Code, ,Institute Name, ,Course Name, ,Type, ,Seat Type
,1, ,52 (99.8264216), ,0603324110, ,"Department of Computer Science, Savitribai Phule Pune University, Pune", ,Master in Computer Application, ,AI-AI, ,AI
2, ,55 (99.8264216), ,0321524110, ,"Bhartiya Vidya Bhavan's Sardar Patel Institute of Technology , Andheri, Mumbai", ,Master in Computer Application, ,AI-AI, ,AI,
3, ,110 (99.6830308), ,0617524110, ,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune", ,Master in Computer Application, ,AI-AI, ,AI,
4, ,148 (99.5434135), ,0318524210, ,"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai", ,Master of Computer Applications, ,AI-AI, ,AI,
5, ,194 (99.3740809), ,0310924110, ,"S.I.E.S. College of Management Studies, Mumbai", ,Master in Computer Application, ,AI-AI, ,AI,
6, ,285 (99.113241), ,0316724110, ,"Mumbai Education Trust's Institute of Computer Science, Bandra (W), Mumbai", ,Master in Computer Application, ,AI-AI, ,AI,
7, ,514 (98.5181554), ,0617924110, ,"Indira College of Engineering & Management, Pune", ,Master in Computer Application, ,AI-AI, ,AI,
8, ,546 (98.3811932), ,0316824110, ,"Thakur Institute of Management Studies Career Development & Research, Kandivali (E), Mumbai", ,Master in Computer Application, ,AI-AI, ,AI,
9, ,717 (98.0566771), ,0317624210, ,"Thakur College of Engineering and Technology, Kandivali, Mumbai", ,Master of Computer Applications, ,AI-AI, ,AI,
10, ,766 (97.8055126), ,0316224110, ,"Bharti Vidyapeeth's Institute of Management & Information Technology, Navi Mumbai", ,Master in Computer Application, ,AI-AI, ,AI,
11, ,828 (97.6265047), ,0311724110, ,"Gurunanak Institute of Management Studies, Mumbai", ,Master in Computer Application, ,AI-AI, ,AI,
